Code,Location
DNA,"Donna, TX"
DOU,"Douglas, AZ"
DUL,"Duluth, MN"
DVL,"Danville, WA"
,"South Texas, IAP at Edinburg"
ELP,"El Paso, TX"
ENS,"Ensenada, PR"
EPM,"Eastport, ME"
ERI,"Erie, PA"
FAB,"Fabens, TX"
FAL,"Falcon Dam, TX"
FBA,"Freeport, Bahamas"
FER,"Ferry, WA"
FPT,"Freeport, TX"
FRE,"Fresno, CA"
FRK,"Frederiksted, St. Croix, VI"
FRT,"Fortuna, ND"
FTF,"Fort Fairfield, ME"
FTK,"Fort Kent, ME"
FTP,"Fort Pierce, FL"
FWA,"Frontier, WA"
GAR,"Gary, IN"
GGW,"Glasgow, MT"
GLP,"Gulfport, MS"
GRB,"Green Bay, WI"
GRF,"Grand Forks, ND"
GRP,"Grand Rapids, MI Kent County Intl Airport"
GRT,"Groton, CT"
GTW,"Brownsville, Gateway Bridge"
HAI,"Haines, AK"
HAM,"Hamilton, Bermuda"
HEL,"Helena, MT"
HID,"Hidalgo, TX"
HLG,"Harlingen, TX"
HMM,"Hammond, IN"
HNS,"Hansboro, ND"
HOM,"Homer, AK"
HOU,"Houston, TX"
HTM,"Houlton, ME"
HVR,"Wild Horse, MT"
IND,Los Indios
INT,"International Falls, MN"
ISL,"Isle Royale, MI"
JAC,"Jacksonville, FL"
JKM,"Jackman, ME"
JUN,"Juneau, AK"
KAN,"Kansas City, MO"
KEY,"Key West, FL"
KOA,"Kona, HI"
LAR,"Laredo, TX Juarez-Lincoln Bridge"
LCB,"Laredo, Columbia Bridge"
LEW,"Lewiston, NY"
LKC,"Lake Charles, LA"
LNB,"Long Beach, CA"
LON,"Longview, WA"
LOS,"Los Angeles, CA"
LSE,"Los Ebanos, TX"
LUK,"Lukeville, AZ"
LWT,"Laredo, World Trade Bridge"
MAA,Abu Dhabi INTL
MAG,"McGuire AFB, NJ"
MAP,"Mariposa, AZ"
MAY,"Mayaguez, PR"
MEM,"Memphis, TN"
MGC,"Morgan City, LA"
MIA,"Miami, FL"
MND,"Minot, ND (Int'l Airport)"
MOB,"Mobile, AL"
MOO,"Mooers, NY"
MRC,"Marine City, MI"
MRR,"Morristown, NY"
MSP,Minneapolis/St. Paul (Int'l Airport)
MYR,"Myrtle Beach, SC"
NAS,"Nassau, Bahamas"
NEC,"Neche, ND"
NIA,"Niagara Falls, NY"
NIK,"Nikiski, AK"
NOL,"New Orleans, LA"
NOO,"Noonan, ND"
NOY,"Noyes, MN"
NRG,"Northgate, ND"
NRT,"North Troy, VT"
NWH,"New Haven, CT"
NWN,"Newport News, VA"
NPW,"Northport, WA"
OGD,"Ogdensburg, NY"
OLY,"Olympia, WA"
OPH,"Opheim, MT"
ORO,"Oroville, WA"
OTM,"Otay Mesa POE, CA"
PAN,"Panama City, FL"
PAS,"Pascagoula, MS"
PBB,"Peace Bridge, NY"
PDN,"Paso del Norte, El Paso, TX"
PEN,"Pensacola, FL"
PEV,"Port Everglades, FL"
PHI,"Philadelphia, PA"
PHR,"Pharr, TX"
PHY,"Pacific Highway POE, WA"
PIE,"Piegan, MT"
PIT,"Pittsburgh, PA"
PKC,"Poker Creek, AK"
PNH,"Pittsburg, NH"
POM,"Portland, ME"
POO,"Portland, OR"
PRC,Prince Rupert BC Canada
PRO,"Providence, RI"
PSM,"Portsmouth, NH"
PTO,"Port Townsend, WA"
PUT,"Put-in-Bay, OH"
RAY,"Raymond, MT"
RBT,"Roberts Landing, MI"
RDU,"Raleigh-Durham, NC"
RIF,"Richford, VT"
RIT,"Rome, Italy"
ROM,"Roma, TX"
ROS,"Roseau, MN"
SAC,"Sacramento, CA"
SAJ,"San Juan, PR"
SAS,"Sasabe, AZ"
SAV,"Savannah, GA"
SCL,"St. Clair, MI"
SDP,"San Diego Intl. Airport, CA"
SEA,"Seattle, WA"
SFB,"Sanford, FL"
SPN,Saipan
SHA,"Shannon, Ireland"
SJO,"St. John, ND"
SLC,"Salt Lake City, UT"
SLU,"San Luis, AZ"
SND,"San Diego, CA"
SNN,"Shannon, Ireland"
SPC,"San Pedro, CA"
SPO,"Spokane, WA"
SSB,"Sanford, Fl"
STA,"St. Albans, VT"
STL,"St. Louis, MO"
STZ,"St. Zacharie, ME"
SWE,"Sweetgrass, MT"
SYS,"San Ysidro, CA"
TAM,"Tampa, FL"
THO,"Thousand Islands Bridge, NY"
TOR,"Toronto, Ontario Canada"
TRO,"Trout River, NY"
TUC,"Tucson, AZ"
VAN,"Vancouver, WA"
VCV,"Vancouver, BC Canada"
VIC,"Victoria, BC"
WAL,"Walhalla, ND"
WAS,"Washington, DC"
WCM,"Willow Creek, MT"
WHM,"Wildhorse, MT"
WHR,Whirlpool Bridge
WIL,"Wilmington, NC"
WLL,"Wilmington, DE"
WND,"Williston, ND (Int'l Airport)"
WRA,"Wrangell, AK"
YOU,"Youngstown, NY"
YUI,"Yuma, AZ"
FRG,
HRL,
ISP,
JSJ,
BUS,
IAG,
PHN,
STN,
VMB,
T01,
